代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
603300.SH,华铁应急,2015-05-29,4.21,4.21,2399612800.0,租赁业,2015-05,2015
603300.SH,华铁应急,2015-06-01,4.63,4.63,2638763400.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-02,5.1,5.1,2902234400.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-03,5.61,5.61,3192052500.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-04,6.17,6.17,3512271100.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-05,6.78,6.78,3862890200.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-08,7.46,7.46,4249989900.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-09,8.21,8.21,4675596900.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-10,9.03,9.03,5143764600.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-11,9.94,9.94,5658546400.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-12,10.93,10.93,6223995700.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-15,12.02,12.02,6846192600.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-16,13.23,13.23,7531217200.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-17,14.55,14.55,8285149600.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-18,13.41,13.09,7456229300.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-19,11.78,11.78,6710403700.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-23,11.28,10.84,6171301500.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-24,11.03,10.71,6100367000.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-25,10.61,9.84,5603825500.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-26,9.54,8.86,5044456300.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-29,9.03,7.97,4539808000.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-06-30,7.76,8.68,4943121300.0,租赁业,2015-06,2015
603300.SH,华铁应急,2015-07-01,8.25,8.25,4695863900.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-02,8.31,7.42,4225669500.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-03,7.13,6.71,3822356200.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-06,7.39,7.39,4205402500.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-07,6.77,6.65,3785875600.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-08,5.98,5.98,3406882700.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-09,5.38,6.58,3747368300.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-10,6.76,7.24,4122307800.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-13,7.96,7.96,4533727900.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-14,8.19,8.2,4671543500.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-15,7.86,7.39,4205402500.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-16,6.73,7.22,4114201000.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-17,7.27,7.68,4373618600.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-20,7.67,7.65,4357405000.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-21,7.55,8.23,4685730400.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-22,8.08,8.42,4795172200.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-23,8.4,9.26,5275500100.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-24,9.5,9.03,5143764600.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-27,8.54,8.13,4628982800.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-28,7.34,7.33,4172975300.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-29,7.6,8.06,4590475500.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-30,8.15,8.23,4683703700.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-07-31,7.9,9.05,5151871400.0,租赁业,2015-07,2015
603300.SH,华铁应急,2015-08-03,9.35,9.95,5666653200.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-04,10.21,9.54,5431556000.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-05,9.03,10.49,5974711600.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-06,11.1,11.54,6572588100.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-07,10.68,11.5,6546241000.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-10,11.21,11.6,6607042000.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-11,11.39,12.04,6856326100.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-12,11.75,10.88,6193595200.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-13,10.5,10.66,6067939800.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-14,10.76,10.9,6209808800.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-17,10.62,10.27,5849056200.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-18,10.31,9.34,5316034100.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-19,9.13,9.71,5526810900.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-20,9.52,9.19,5230912700.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-21,8.83,8.27,4712077500.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-24,7.9,7.45,4241883100.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-25,6.71,6.71,3818302800.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-26,6.96,7.37,4199322400.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-27,7.49,7.85,4470900200.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-28,7.76,8.18,4655329900.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-08-31,8.0,7.36,4189188900.0,租赁业,2015-08,2015
603300.SH,华铁应急,2015-09-01,7.14,6.62,3769662000.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-02,6.2,6.27,3573072100.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-07,6.48,6.51,3708861000.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-08,6.36,7.16,4079747100.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-09,7.4,7.47,4254043300.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-10,7.12,7.5,4272283600.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-11,7.67,8.25,4699917300.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-14,8.83,7.51,4278363700.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-15,6.97,7.39,4205402500.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-16,7.47,8.13,4626956100.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-17,8.19,7.72,4397939000.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-18,7.77,7.81,4448606500.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-21,7.58,8.24,4693837200.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-22,8.19,9.07,5164031600.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-23,9.03,9.39,5344407900.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-24,9.39,9.39,5344407900.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-25,9.39,9.39,5344407900.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-28,9.39,9.39,5344407900.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-29,9.39,9.39,5344407900.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-09-30,9.39,9.39,5344407900.0,租赁业,2015-09,2015
603300.SH,华铁应急,2015-10-08,9.39,9.39,5344407900.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-09,9.39,9.39,5344407900.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-12,9.39,9.39,5344407900.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-13,9.39,9.39,5344407900.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-14,9.39,9.39,5344407900.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-15,9.39,9.39,5344407900.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-16,9.39,9.39,5344407900.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-19,10.32,10.32,5879456700.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-20,11.36,11.36,6467199700.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-21,11.85,11.08,6309117100.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-22,10.86,11.26,6410452100.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-23,11.1,11.61,6611095400.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-26,11.39,10.64,6057806300.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-27,10.6,10.49,5972684900.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-28,10.49,9.94,5660573100.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-29,9.95,10.06,5727454200.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-10-30,9.97,10.06,5729480900.0,租赁业,2015-10,2015
603300.SH,华铁应急,2015-11-02,9.82,10.24,5828789200.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-03,10.14,10.33,5881483400.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-04,10.37,10.79,6146981100.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-05,10.94,10.67,6074019900.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-06,10.49,11.0,6266556400.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-09,10.86,11.1,6321277300.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-10,11.0,10.88,6195621900.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-11,10.82,11.97,6815792100.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-12,12.1,12.5,7115743700.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-13,12.04,11.25,6408425400.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-16,10.91,11.3,6432745800.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-17,11.42,10.91,6213862200.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-18,10.83,10.32,5875403300.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-19,10.32,10.74,6116580600.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-20,10.71,10.68,6084153400.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-23,10.68,10.74,6114553900.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-24,10.69,11.28,6422612300.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-25,11.28,11.29,6430719100.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-26,11.3,12.42,7073183000.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-27,12.46,12.07,6870513000.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-11-30,11.89,13.27,7557564300.0,租赁业,2015-11,2015
603300.SH,华铁应急,2015-12-01,13.84,12.82,7302200100.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-02,12.53,11.89,6773231400.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-03,11.92,12.68,7223158800.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-04,12.4,12.85,7318413700.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-07,12.84,12.71,7235319000.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-08,12.71,12.09,6886726600.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-09,11.99,12.23,6963741200.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-10,12.1,12.34,7028595600.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-11,12.09,12.42,7071156300.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-14,12.14,13.66,7778474600.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-15,13.38,13.9,7914263500.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-16,13.79,14.39,8193948100.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-17,14.44,14.75,8398644800.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-18,14.59,15.2,8658062400.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-21,15.31,15.05,8570914300.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-22,14.66,16.56,9428208400.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-23,16.59,17.06,9713973100.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-24,17.18,17.26,9827468300.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-25,17.08,18.34,10443585100.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-28,18.41,16.51,9399834600.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-29,16.07,17.17,9776800800.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-30,17.19,17.39,9900429500.0,租赁业,2015-12,2015
603300.SH,华铁应急,2015-12-31,17.48,17.13,9756533800.0,租赁业,2015-12,2015
603300.SH,华铁应急,2016-01-04,16.83,16.55,9422128300.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-05,15.97,17.79,10131473300.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-06,17.62,19.57,11144823300.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-07,18.92,17.61,10030138300.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-08,18.33,18.79,10700976000.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-11,18.36,16.91,9630878400.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-12,16.79,16.55,9422128300.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-13,16.66,16.08,9154603900.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-14,15.13,16.27,9264045700.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-15,16.63,15.04,8564834200.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-18,14.88,15.19,8651982300.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-19,15.58,15.87,9037055300.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-20,15.91,16.91,9626825000.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-21,16.59,15.22,8666169200.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-22,15.8,15.66,8919506700.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-25,15.52,15.67,8925586800.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-26,15.4,14.39,8195974800.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-27,14.49,12.96,7377188000.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-28,12.74,11.66,6639469200.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-01-29,11.37,11.57,6586775000.0,租赁业,2016-01,2016
603300.SH,华铁应急,2016-02-01,11.39,10.66,6069966500.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-02,10.61,11.01,6270609800.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-03,10.93,11.3,6432745800.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-04,11.35,11.62,6617175500.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-05,11.74,11.03,6280743300.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-15,10.78,11.46,6525974000.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-16,11.5,12.47,7101556800.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-17,12.28,12.37,7046835900.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-18,12.44,12.17,6929287300.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-19,12.16,12.15,6919153800.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-22,12.34,12.34,7026568900.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-23,12.4,12.07,6874566400.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-24,12.07,12.28,6992115000.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-25,12.29,11.05,6292903500.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-26,11.03,10.69,6086180100.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-02-29,10.69,9.62,5478170100.0,租赁业,2016-02,2016
603300.SH,华铁应急,2016-03-01,9.65,9.82,5593692000.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-02,9.82,10.45,5948364500.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-03,10.54,10.63,6055779600.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-04,10.46,9.87,5620039100.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-07,9.82,10.17,5790281900.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-08,10.3,10.17,5792308600.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-09,9.89,9.97,5676786700.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-10,9.98,9.74,5547077900.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-11,9.65,9.69,5520730800.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-14,9.73,10.04,5719347400.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-15,9.97,10.1,5753801300.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-16,10.12,9.9,5638279400.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-17,9.97,10.22,5818655700.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-18,10.28,10.83,6169274800.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-21,10.98,11.2,6380051600.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-22,11.08,10.93,6223995700.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-23,10.93,11.16,6357757900.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-24,11.16,11.44,6511787100.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-25,11.39,11.18,6367891400.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-28,11.34,10.9,6207782100.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-29,10.89,10.57,6021325700.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-30,10.68,11.15,6349651100.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-03-31,11.2,11.0,6266556400.0,租赁业,2016-03,2016
603300.SH,华铁应急,2016-04-01,10.93,10.83,6165221400.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-05,10.86,11.3,6434772500.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-06,11.31,12.01,6840112500.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-07,12.19,12.54,7138037400.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-08,12.31,13.79,7851435800.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-11,14.09,13.89,7910210100.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-12,13.93,13.28,7563644400.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-13,13.13,13.25,7547430800.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-14,13.18,13.51,7691326500.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-15,13.39,13.18,7504870100.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-18,13.13,12.63,7194785000.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-19,12.81,12.86,7322467100.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-20,12.88,11.77,6700270200.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-21,11.77,11.29,6430719100.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-22,11.1,11.5,6548267700.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-25,11.5,11.14,6343571000.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-26,11.21,12.25,6977928100.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-27,12.25,12.2,6947527600.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-28,12.24,12.37,7042782500.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-04-29,12.37,11.97,6813765400.0,租赁业,2016-04,2016
603300.SH,华铁应急,2016-05-03,11.97,12.18,6937394100.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-04,12.2,12.05,6862406200.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-05,11.94,12.0,6836059100.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-06,12.0,12.18,6933340700.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-09,12.18,11.16,6353704500.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-10,11.07,11.1,6323304000.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-11,11.25,10.91,6213862200.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-12,10.71,10.73,6110500500.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-13,10.82,10.77,6130767500.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-16,10.84,10.87,6187515100.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-17,10.64,10.67,6074019900.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-18,10.57,9.83,5599772100.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-19,9.87,9.86,5613959000.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-20,9.65,9.96,5670706600.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-23,10.0,10.29,5857163000.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-24,10.24,9.97,5678813400.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-25,9.89,9.86,5611932300.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-26,9.87,9.81,5583558500.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-27,9.81,9.89,5634226000.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-30,9.81,9.92,5650439600.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-05-31,9.89,10.37,5903777100.0,租赁业,2016-05,2016
603300.SH,华铁应急,2016-06-01,10.4,10.31,5869323200.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-02,10.28,10.97,6244262700.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-03,11.15,11.11,6329384100.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-06,11.2,10.91,6213862200.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-07,10.93,11.55,6578668200.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-08,11.57,11.17,6359784600.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-13,11.11,10.45,5942284400.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-14,9.98,9.91,5634226000.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-15,9.67,10.26,5836896000.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-16,10.38,9.99,5682866800.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-17,9.99,10.01,5690973600.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-20,9.98,10.31,5861216400.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-21,10.16,10.01,5695027000.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-22,10.01,10.04,5707187200.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-23,10.04,9.93,5646386200.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-24,9.91,9.86,5605852200.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-27,9.86,10.11,5747721200.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-28,10.05,10.23,5816629000.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-29,10.33,10.43,5930124200.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-06-30,10.3,10.21,5804468800.0,租赁业,2016-06,2016
603300.SH,华铁应急,2016-07-01,10.28,10.08,5731507600.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-04,9.98,10.21,5808522200.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-05,10.26,10.16,5780148400.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-06,10.16,10.26,5832842600.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-07,10.26,10.12,5755828000.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-08,10.09,10.01,5695027000.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-11,9.87,9.84,5593692000.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-12,9.91,10.08,5731507600.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-13,10.11,10.27,5840949400.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-14,10.16,10.11,5747721200.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-15,10.17,10.11,5747721200.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-18,10.09,9.87,5613959000.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-19,9.91,9.9,5630172600.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-20,9.98,9.89,5622065800.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-21,9.94,9.91,5638279400.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-22,9.95,9.84,5597745400.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-25,9.84,9.78,5561264800.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-26,9.8,9.83,5589638600.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-27,9.83,9.13,5192405400.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-28,9.04,8.87,5042429600.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-07-29,8.91,8.89,5058643200.0,租赁业,2016-07,2016
603300.SH,华铁应急,2016-08-01,8.87,8.51,4839759600.0,租赁业,2016-08,2016
603300.SH,华铁应急,2016-08-02,8.5,8.57,4876240200.0,租赁业,2016-08,2016
603300.SH,华铁应急,2016-08-03,8.54,8.49,4827599400.0,租赁业,2016-08,2016
603300.SH,华铁应急,2016-08-04,8.5,8.63,4908667400.0,租赁业,2016-08,2016
603300.SH,华铁应急,2016-08-05,8.55,8.45,4807332400.0,租赁业,2016-08,2016
603300.SH,华铁应急,2016-08-08,8.47,8.62,4904614000.0,租赁业,2016-08,2016
603300.SH,华铁应急,2016-08-09,8.62,8.77,4989735400.0,租赁业,2016-08,2016
603300.SH,华铁应急,2016-08-10,8.76,8.67,4932987800.0,租赁业,2016-08,2016
603300.SH,华铁应急,2016-08-11,8.71,8.67,4928934400.0,租赁业,2016-08,2016
