代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600992.SH,贵绳股份,2010-01-04,10.06,10.08,1750540500
600992.SH,贵绳股份,2010-01-05,10.12,10.00,1735747200
600992.SH,贵绳股份,2010-01-06,10.00,9.95,1727528700
600992.SH,贵绳股份,2010-01-07,9.92,9.68,1679861400
600992.SH,贵绳股份,2010-01-08,9.74,9.68,1679861400
600992.SH,贵绳股份,2010-01-11,9.69,9.63,1671642900
600992.SH,贵绳股份,2010-01-12,9.68,9.89,1717666500
600992.SH,贵绳股份,2010-01-13,9.75,9.64,1673286600
600992.SH,贵绳股份,2010-01-14,9.66,9.93,1724241300
600992.SH,贵绳股份,2010-01-15,9.93,9.93,1724241300
600992.SH,贵绳股份,2010-01-18,9.98,10.21,1771908600
600992.SH,贵绳股份,2010-01-19,10.17,10.18,1766977500
600992.SH,贵绳股份,2010-01-20,10.18,9.67,1678217700
600992.SH,贵绳股份,2010-01-21,9.68,9.73,1689723600
600992.SH,贵绳股份,2010-01-22,9.68,9.25,1605894900
600992.SH,贵绳股份,2010-01-25,9.11,9.20,1597676400
600992.SH,贵绳股份,2010-01-26,9.20,8.72,1513847700
600992.SH,贵绳股份,2010-01-27,8.76,8.75,1518778800
600992.SH,贵绳股份,2010-01-28,8.80,8.82,1531928400
600992.SH,贵绳股份,2010-01-29,8.74,9.01,1564802400
600992.SH,贵绳股份,2010-02-01,8.97,8.77,1522066200
600992.SH,贵绳股份,2010-02-02,8.78,8.95,1553296500
600992.SH,贵绳股份,2010-02-03,8.99,9.33,1620688200
600992.SH,贵绳股份,2010-02-04,9.18,9.34,1622331900
600992.SH,贵绳股份,2010-02-05,9.02,9.22,1600963800
600992.SH,贵绳股份,2010-02-08,9.28,9.27,1609182300
600992.SH,贵绳股份,2010-02-09,9.28,9.21,1599320100
600992.SH,贵绳股份,2010-02-10,9.25,9.41,1633837800
600992.SH,贵绳股份,2010-02-11,9.39,9.49,1646987400
600992.SH,贵绳股份,2010-02-12,9.54,9.81,1702873200
600992.SH,贵绳股份,2010-02-22,9.66,10.01,1737390900
600992.SH,贵绳股份,2010-02-23,9.95,10.14,1760402700
600992.SH,贵绳股份,2010-02-24,9.99,10.09,1752184200
600992.SH,贵绳股份,2010-02-25,10.00,10.03,1742322000
600992.SH,贵绳股份,2010-02-26,10.15,9.87,1714379100
600992.SH,贵绳股份,2010-03-01,9.81,10.02,1739034600
600992.SH,贵绳股份,2010-03-02,10.01,10.07,1748896800
600992.SH,贵绳股份,2010-03-03,10.09,10.17,1765333800
600992.SH,贵绳股份,2010-03-04,10.18,9.71,1686436200
600992.SH,贵绳股份,2010-03-05,9.68,9.56,1660137000
600992.SH,贵绳股份,2010-03-08,9.63,9.71,1686436200
600992.SH,贵绳股份,2010-03-09,9.71,9.73,1689723600
600992.SH,贵绳股份,2010-03-10,9.73,9.64,1673286600
600992.SH,贵绳股份,2010-03-11,9.65,9.76,1694654700
600992.SH,贵绳股份,2010-03-12,9.81,9.56,1660137000
600992.SH,贵绳股份,2010-03-15,9.51,9.22,1600963800
600992.SH,贵绳股份,2010-03-16,9.23,9.27,1609182300
600992.SH,贵绳股份,2010-03-17,9.46,9.86,1712735400
600992.SH,贵绳股份,2010-03-18,9.69,9.74,1691367300
600992.SH,贵绳股份,2010-03-19,9.75,9.82,1704516900
600992.SH,贵绳股份,2010-03-22,9.82,9.99,1734103500
600992.SH,贵绳股份,2010-03-23,10.02,9.76,1694654700
600992.SH,贵绳股份,2010-03-24,9.79,9.84,1707804300
600992.SH,贵绳股份,2010-03-25,9.84,9.52,1653562200
600992.SH,贵绳股份,2010-03-26,9.42,9.55,1658493300
600992.SH,贵绳股份,2010-03-29,9.54,9.59,1665068100
600992.SH,贵绳股份,2010-03-30,9.56,9.64,1673286600
600992.SH,贵绳股份,2010-03-31,9.61,9.58,1663424400
600992.SH,贵绳股份,2010-04-01,9.62,9.79,1699585800
600992.SH,贵绳股份,2010-04-02,9.75,9.81,1702873200
600992.SH,贵绳股份,2010-04-06,9.83,9.90,1719310200
600992.SH,贵绳股份,2010-04-07,9.92,9.82,1704516900
600992.SH,贵绳股份,2010-04-08,9.80,9.77,1696298400
600992.SH,贵绳股份,2010-04-09,9.79,9.98,1732459800
600992.SH,贵绳股份,2010-04-12,9.99,9.91,1720953900
600992.SH,贵绳股份,2010-04-13,9.91,9.64,1673286600
600992.SH,贵绳股份,2010-04-14,9.64,9.89,1717666500
600992.SH,贵绳股份,2010-04-15,9.89,10.00,1735747200
600992.SH,贵绳股份,2010-04-16,9.94,9.92,1722597600
600992.SH,贵绳股份,2010-04-19,9.85,9.41,1633837800
600992.SH,贵绳股份,2010-04-20,9.45,9.42,1635481500
600992.SH,贵绳股份,2010-04-21,9.42,9.59,1665068100
600992.SH,贵绳股份,2010-04-22,9.56,9.54,1656849600
600992.SH,贵绳股份,2010-04-23,9.54,9.54,1656849600
600992.SH,贵绳股份,2010-04-26,9.45,9.29,1612469700
600992.SH,贵绳股份,2010-04-27,9.23,9.39,1630550400
600992.SH,贵绳股份,2010-04-28,9.21,9.55,1658493300
600992.SH,贵绳股份,2010-04-29,9.56,9.36,1625619300
600992.SH,贵绳股份,2010-04-30,9.29,8.95,1553296500
600992.SH,贵绳股份,2010-05-04,8.71,8.79,1525353600
600992.SH,贵绳股份,2010-05-05,8.69,8.94,1551652800
600992.SH,贵绳股份,2010-05-06,8.90,8.67,1505629200
600992.SH,贵绳股份,2010-05-07,8.46,8.14,1413582000
600992.SH,贵绳股份,2010-05-10,8.10,8.15,1415225700
600992.SH,贵绳股份,2010-05-11,8.34,7.87,1365914700
600992.SH,贵绳股份,2010-05-12,7.89,7.86,1364271000
600992.SH,贵绳股份,2010-05-13,7.97,7.95,1380708000
600992.SH,贵绳股份,2010-05-14,7.90,8.03,1393857600
600992.SH,贵绳股份,2010-05-17,7.96,7.38,1272223800
600992.SH,贵绳股份,2010-05-18,7.37,7.45,1283729700
600992.SH,贵绳股份,2010-05-19,7.42,7.34,1265649000
600992.SH,贵绳股份,2010-05-20,7.31,7.53,1298523000
600992.SH,贵绳股份,2010-05-21,7.32,7.65,1318247400
600992.SH,贵绳股份,2010-05-24,7.61,7.89,1360983600
600992.SH,贵绳股份,2010-05-25,7.84,7.72,1331397000
600992.SH,贵绳股份,2010-05-26,7.71,7.76,1337971800
600992.SH,贵绳股份,2010-05-27,7.76,7.85,1352765100
600992.SH,贵绳股份,2010-05-28,7.92,7.82,1347834000
600992.SH,贵绳股份,2010-05-31,7.81,7.54,1300166700
600992.SH,贵绳股份,2010-06-01,7.52,7.32,1262361600
600992.SH,贵绳股份,2010-06-02,7.26,7.47,1288660800
600992.SH,贵绳股份,2010-06-03,7.48,7.38,1272223800
600992.SH,贵绳股份,2010-06-04,7.35,7.41,1277154900
600992.SH,贵绳股份,2010-06-07,7.25,7.31,1260717900
600992.SH,贵绳股份,2010-06-08,7.28,7.47,1288660800
600992.SH,贵绳股份,2010-06-09,7.44,7.61,1311672600
600992.SH,贵绳股份,2010-06-10,7.53,7.78,1341259200
600992.SH,贵绳股份,2010-06-11,7.74,7.89,1360983600
600992.SH,贵绳股份,2010-06-17,7.91,8.16,1407007200
600992.SH,贵绳股份,2010-06-18,8.15,8.05,1387282800
600992.SH,贵绳股份,2010-06-21,8.01,8.09,1395501300
600992.SH,贵绳股份,2010-06-22,8.04,7.91,1364271000
600992.SH,贵绳股份,2010-06-23,7.91,7.84,1351121400
600992.SH,贵绳股份,2010-06-24,7.83,7.87,1356052500
600992.SH,贵绳股份,2010-06-25,7.74,7.87,1356052500
600992.SH,贵绳股份,2010-06-28,7.86,7.77,1339615500
600992.SH,贵绳股份,2010-06-29,7.81,7.17,1236062400
600992.SH,贵绳股份,2010-06-30,7.13,6.88,1186751400
600992.SH,贵绳股份,2010-07-01,6.89,6.85,1180176600
600992.SH,贵绳股份,2010-07-02,6.82,6.77,1167027000
600992.SH,贵绳股份,2010-07-05,6.68,6.77,1167027000
600992.SH,贵绳股份,2010-07-06,6.75,6.91,1191682500
600992.SH,贵绳股份,2010-07-07,6.93,6.97,1201544700
600992.SH,贵绳股份,2010-07-08,6.99,6.94,1196613600
600992.SH,贵绳股份,2010-07-09,6.95,7.51,1295235600
600992.SH,贵绳股份,2010-07-12,7.43,7.45,1283729700
600992.SH,贵绳股份,2010-07-13,7.40,7.37,1270580100
600992.SH,贵绳股份,2010-07-14,7.34,7.42,1278798600
600992.SH,贵绳股份,2010-07-15,7.36,7.15,1232775000
600992.SH,贵绳股份,2010-07-16,7.13,7.22,1244280900
600992.SH,贵绳股份,2010-07-19,7.15,7.40,1275511200
600992.SH,贵绳股份,2010-07-20,7.40,7.65,1318247400
600992.SH,贵绳股份,2010-07-21,7.57,7.56,1303454100
600992.SH,贵绳股份,2010-07-22,7.57,7.70,1328109600
600992.SH,贵绳股份,2010-07-23,7.70,7.68,1323178500
600992.SH,贵绳股份,2010-07-26,7.68,7.75,1336328100
600992.SH,贵绳股份,2010-07-27,7.75,7.69,1326465900
600992.SH,贵绳股份,2010-07-28,7.65,7.78,1341259200
600992.SH,贵绳股份,2010-07-29,7.76,7.85,1352765100
600992.SH,贵绳股份,2010-07-30,7.79,7.78,1341259200
600992.SH,贵绳股份,2010-08-02,7.82,7.89,1360983600
600992.SH,贵绳股份,2010-08-03,7.90,7.80,1344546600
600992.SH,贵绳股份,2010-08-04,7.77,7.78,1341259200
600992.SH,贵绳股份,2010-08-05,7.78,7.88,1357696200
600992.SH,贵绳股份,2010-08-06,7.82,8.00,1379064300
600992.SH,贵绳股份,2010-08-09,8.00,8.06,1388926500
600992.SH,贵绳股份,2010-08-10,8.05,7.79,1342902900
600992.SH,贵绳股份,2010-08-11,7.75,7.96,1372489500
600992.SH,贵绳股份,2010-08-12,7.89,7.91,1364271000
600992.SH,贵绳股份,2010-08-13,7.90,8.08,1392213900
600992.SH,贵绳股份,2010-08-16,8.01,8.18,1410294600
600992.SH,贵绳股份,2010-08-17,8.15,8.28,1426731600
600992.SH,贵绳股份,2010-08-18,8.26,8.18,1410294600
600992.SH,贵绳股份,2010-08-19,8.18,8.19,1411938300
600992.SH,贵绳股份,2010-08-20,8.14,8.00,1379064300
600992.SH,贵绳股份,2010-08-23,8.34,8.44,1454674500
600992.SH,贵绳股份,2010-08-24,8.27,8.37,1443168600
600992.SH,贵绳股份,2010-08-25,8.25,8.10,1397145000
600992.SH,贵绳股份,2010-08-26,8.10,8.10,1397145000
600992.SH,贵绳股份,2010-08-27,8.08,8.12,1400432400
600992.SH,贵绳股份,2010-08-30,8.12,8.23,1418513100
600992.SH,贵绳股份,2010-08-31,8.17,8.27,1425087900
600992.SH,贵绳股份,2010-09-01,8.25,8.18,1410294600
600992.SH,贵绳股份,2010-09-02,8.23,8.41,1449743400
600992.SH,贵绳股份,2010-09-03,8.41,8.49,1462893000
600992.SH,贵绳股份,2010-09-06,8.50,8.62,1485904800
600992.SH,贵绳股份,2010-09-07,8.58,8.56,1476042600
600992.SH,贵绳股份,2010-09-08,8.54,8.55,1474398900
600992.SH,贵绳股份,2010-09-09,8.54,8.32,1434950100
600992.SH,贵绳股份,2010-09-10,8.33,8.46,1457961900
600992.SH,贵绳股份,2010-09-13,8.41,8.71,1502341800
600992.SH,贵绳股份,2010-09-14,8.68,8.64,1489192200
600992.SH,贵绳股份,2010-09-15,8.64,8.69,1497410700
600992.SH,贵绳股份,2010-09-16,8.70,8.59,1480973700
600992.SH,贵绳股份,2010-09-17,8.58,8.74,1507272900
600992.SH,贵绳股份,2010-09-20,8.75,8.53,1471111500
600992.SH,贵绳股份,2010-09-21,8.54,8.36,1441524900
600992.SH,贵绳股份,2010-09-27,8.41,8.49,1462893000
600992.SH,贵绳股份,2010-09-28,8.49,8.55,1474398900
600992.SH,贵绳股份,2010-09-29,8.54,8.32,1434950100
600992.SH,贵绳股份,2010-09-30,8.28,8.45,1456318200
600992.SH,贵绳股份,2010-10-08,8.47,8.91,1535215800
600992.SH,贵绳股份,2010-10-11,8.94,9.11,1569733500
600992.SH,贵绳股份,2010-10-12,9.09,9.28,1599320100
600992.SH,贵绳股份,2010-10-13,9.28,9.23,1591101600
600992.SH,贵绳股份,2010-10-14,9.37,9.20,1586170500
600992.SH,贵绳股份,2010-10-15,9.13,9.57,1650274800
600992.SH,贵绳股份,2010-10-18,9.58,9.12,1573020900
600992.SH,贵绳股份,2010-10-19,9.19,9.28,1599320100
600992.SH,贵绳股份,2010-10-20,9.06,9.31,1604251200
600992.SH,贵绳股份,2010-10-21,9.31,9.53,1643700000
600992.SH,贵绳股份,2010-10-22,9.52,9.46,1630550400
600992.SH,贵绳股份,2010-10-25,9.52,9.81,1691367300
600992.SH,贵绳股份,2010-10-26,9.79,9.72,1676574000
600992.SH,贵绳股份,2010-10-27,9.66,9.77,1684792500
600992.SH,贵绳股份,2010-10-28,9.65,9.51,1638768900
600992.SH,贵绳股份,2010-10-29,9.52,9.41,1622331900
600992.SH,贵绳股份,2010-11-01,9.44,9.71,1673286600
600992.SH,贵绳股份,2010-11-02,9.68,10.68,1840944000
600992.SH,贵绳股份,2010-11-03,10.66,11.54,1988877000
600992.SH,贵绳股份,2010-11-04,11.44,11.79,2033256900
600992.SH,贵绳股份,2010-11-05,11.92,12.24,2110510800
600992.SH,贵绳股份,2010-11-08,11.99,12.44,2145028500
600992.SH,贵绳股份,2010-11-09,12.59,12.36,2130235200
600992.SH,贵绳股份,2010-11-10,12.30,12.02,2072705700
600992.SH,贵绳股份,2010-11-11,12.06,12.11,2087499000
600992.SH,贵绳股份,2010-11-12,12.01,11.74,2023394700
600992.SH,贵绳股份,2010-11-15,11.72,12.67,2184477300
600992.SH,贵绳股份,2010-11-16,12.72,12.39,2135166300
600992.SH,贵绳股份,2010-11-17,12.06,11.15,1921485300
600992.SH,贵绳股份,2010-11-18,11.35,11.36,1959290400
600992.SH,贵绳股份,2010-11-19,11.45,11.76,2026682100
600992.SH,贵绳股份,2010-11-22,11.75,11.55,1990520700
600992.SH,贵绳股份,2010-11-23,11.29,11.24,1937922300
600992.SH,贵绳股份,2010-11-24,11.19,11.82,2038188000
600992.SH,贵绳股份,2010-11-25,11.82,11.88,2048050200
600992.SH,贵绳股份,2010-11-26,11.82,11.39,1964221500
600992.SH,贵绳股份,2010-11-29,11.39,10.94,1885323900
600992.SH,贵绳股份,2010-11-30,10.96,10.51,1811357400
600992.SH,贵绳股份,2010-12-01,10.32,10.36,1786701900
600992.SH,贵绳股份,2010-12-02,10.59,10.35,1785058200
600992.SH,贵绳股份,2010-12-03,10.34,10.22,1762046400
600992.SH,贵绳股份,2010-12-06,10.20,10.23,1763690100
600992.SH,贵绳股份,2010-12-07,10.19,10.43,1798207800
600992.SH,贵绳股份,2010-12-08,10.40,10.25,1766977500
600992.SH,贵绳股份,2010-12-09,10.23,10.15,1750540500
600992.SH,贵绳股份,2010-12-10,10.09,10.32,1778483400
600992.SH,贵绳股份,2010-12-13,10.33,10.61,1829438100
600992.SH,贵绳股份,2010-12-14,10.65,10.58,1824507000
600992.SH,贵绳股份,2010-12-15,10.56,10.57,1822863300
600992.SH,贵绳股份,2010-12-16,10.49,10.49,1808070000
600992.SH,贵绳股份,2010-12-17,10.49,10.61,1829438100
600992.SH,贵绳股份,2010-12-20,10.65,10.08,1737390900
600992.SH,贵绳股份,2010-12-21,10.16,10.22,1762046400
600992.SH,贵绳股份,2010-12-22,10.23,10.24,1765333800
600992.SH,贵绳股份,2010-12-23,10.18,10.09,1739034600
600992.SH,贵绳股份,2010-12-24,9.98,10.08,1737390900
600992.SH,贵绳股份,2010-12-27,9.88,9.70,1671642900
